b'ABSOLUTELY',b'adventure',b'Do you still like to explore?',"b'How great, you are still a kid at heart! Someone should write an adventure story about you. I would read it!'"
b'I DO',b'adventure',b'Do you still like to explore?',"b'How great, you are still a kid at heart! Someone should write an adventure story about you. I would read it!'"
b'NO',b'adventure',b'Do you still like to explore?',"b""I do not do much exploring myself! Are you familiar with Tom Clancy's writing?"""
b'[MASK]',b'adventure',b'I would read it!',"b""Are you familiar with Tom Clancy's writing?"""
b'YES',b'adventure',"b""Are you familiar with Tom Clancy's writing?""",b'Talk about action and suspense! Do you think it would be hard to be a secret agent or spy?'
b'ABSOLUTELY',b'adventure',"b""Are you familiar with Tom Clancy's writing?""",b'Talk about action and suspense! Do you think it would be hard to be a secret agent or spy?'
b'I AM',b'adventure',"b""Are you familiar with Tom Clancy's writing?""",b'Talk about action and suspense! Do you think it would be hard to be a secret agent or spy?'
b'NO',b'adventure',"b""Are you familiar with Tom Clancy's writing?""",b'He wrote about spies and secret military operations. Do you think it would be hard to be a secret agent or spy?'
b'DON T KNOW',b'adventure',"b""Are you familiar with Tom Clancy's writing?""",b'He wrote about spies and secret military operations. Do you think it would be hard to be a secret agent or spy?'
b'[MASK] WHO [MASK]',b'adventure',"b""Are you familiar with Tom Clancy's writing?""",b'He wrote about spies and secret military operations. Do you think it would be hard to be a secret agent or spy?'
b'YES',b'adventure',b'Do you think it would be hard to be a secret agent or spy?',b'I agree. What do you think it would feel like to be on a mission and have secret orders to carry out?'
b'ABSOLUTELY',b'adventure',b'Do you think it would be hard to be a secret agent or spy?',b'I agree. What do you think it would feel like to be on a mission and have secret orders to carry out?'
b'I DO',b'adventure',b'Do you think it would be hard to be a secret agent or spy?',b'I agree. What do you think it would feel like to be on a mission and have secret orders to carry out?'
b'NO',b'adventure',b'Do you think it would be hard to be a secret agent or spy?',b'What do you think it would feel like to be on a mission and have secret orders to carry out?'
b'[MASK]',b'adventure',b'What do you think it would feel like to be on a mission and have secret orders to carry out?',"b""I am definitely no expert on spies or what it's like to be an agent, but I think you have a good point. Should we keep talking about books?"""
b'NO',b'adventure',b'Do you think it would be hard to be a secret agent or spy?',b'What do you think it would feel like to be on a mission and have secret orders to carry out?'
b'NO',b'adventure',b'Have you ever read The Adventures of Tom Sawyer?',"b""It's about a boy living on the Mississippi river. Did you like to go exploring when you were kid?"""
b'[MASK] Yes [MASK]',b'*',b'Should we keep talking about books?',"b'Do you prefer adventure, horror, drama, or mystery?'"
b'ABSOLUTELY',b'*',b'Should we keep talking about books?',"b'Do you prefer adventure, horror, drama, or mystery?'"
b'[MASK] No [MASK]',b'*',b'Should we keep talking about books?',b'What would you like to talk about next?'
b'YES',b'adventure',b'Are you familiar with Moby Dick?',b'Have you ever chased after something like Captain Ahab chased after that white whale?'
b'ABSOLUTELY',b'adventure',b'Are you familiar with Moby Dick?',b'Have you ever chased after something like Captain Ahab chased after that white whale?'
b'I AM',b'adventure',b'Are you familiar with Moby Dick?',b'Have you ever chased after something like Captain Ahab chased after that white whale?'
b'NO',b'adventure',b'Are you familiar with Moby Dick?',b'In that case tell me this. Have you ever read The Adventures of Tom Sawyer?'
b'DON T KNOW',b'adventure',b'Are you familiar with Moby Dick?',b'In that case tell me this. Have you ever read The Adventures of Tom Sawyer?'
b'YES',b'adventure',b'Have you ever chased after something like Captain Ahab chased after that white whale?',b'Oh wow! Tell me more!'
b'ABSOLUTELY',b'adventure',b'Have you ever chased after something like Captain Ahab chased after that white whale?',b'Oh wow! Tell me more!'
b'I HAVE',b'adventure',b'Have you ever chased after something like Captain Ahab chased after that white whale?',b'Oh wow! Tell me more!'
b'NO',b'adventure',b'Have you ever chased after something like Captain Ahab chased after that white whale?',b'I understand. Sometimes my biggest dream is just to eat a whole pizza to myself!'
b'DON T KNOW',b'adventure',b'Have you ever chased after something like Captain Ahab chased after that white whale?',b'I understand. Sometimes my biggest dream is just to eat a whole pizza to myself!'
b'[MASK]',b'adventure',b'Sometimes my biggest dream is just to eat a whole pizza to myself!',b'Did you ever do much writing yourself?'
b'DON T KNOW',b'adventure',b'Tell me more!',b'Well I happen to think you could write an adventure novel. Did you ever do much writing yourself?'
b'[MASK]',b'adventure',b'Tell me more!',b'Sounds like the plot of a great adventure novel! Did you ever do much writing yourself?'
b'[MASK] ADVENTURE [MASK]',b'*',"b'Do you prefer adventure, horror, drama, or mystery?'","b""There's nothing like a good adventure to liven things up! Have you ever read The Adventures of Tom Sawyer?"""
b'[MASK] ADVENTURE [MASK]',b'*',"b'Do you prefer adventure, horror, drama, or mystery?'","b'Adventure excites me! Oh the thrill, the chase! Are you familiar with Moby Dick?'"
b'YES',b'adventure',b'Have you ever read The Adventures of Tom Sawyer?',b'What did you think of all the mischief Tom got into?'
b'ABSOLUTELY',b'adventure',b'Have you ever read The Adventures of Tom Sawyer?',b'What did you think of all the mischief Tom got into?'
b'I HAVE',b'adventure',b'Have you ever read The Adventures of Tom Sawyer?',b'What did you think of all the mischief Tom got into?'
b'NO',b'adventure',b'Have you ever read The Adventures of Tom Sawyer?',b'The Adventures of Tom Sawyer is about a boy living on the Mississippi River. Did you like to go exploring when you were kid?'
b'DON T KNOW',b'adventure',b'Have you ever read The Adventures of Tom Sawyer?',b'The Adventures of Tom Sawyer is about a boy living on the Mississippi River. Did you like to go exploring when you were kid?'
